"Line Code","Direction","Station Code","Station ID","Chinese Name","English Name","Sequence"
"AEL","DT","AWE","56","博覽館","AsiaWorld-Expo",1.00
"AEL","DT","AIR","47","機場","Airport",2.00
"AEL","DT","TSY","46","青衣","Tsing Yi",3.00
"AEL","DT","KOW","45","九龍","Kowloon",4.00
"AEL","DT","HOK","44","香港","Hong Kong",5.00
"AEL","UT","HOK","44","香港","Hong Kong",1.00
"AEL","UT","KOW","45","九龍","Kowloon",2.00
"AEL","UT","TSY","46","青衣","Tsing Yi",3.00
"AEL","UT","AIR","47","機場","Airport",4.00
"AEL","UT","AWE","56","博覽館","AsiaWorld-Expo",5.00
"DRL","DT","SUN","54","欣澳","Sunny Bay",1.00
"DRL","DT","DIS","55","迪士尼","Disneyland Resort",2.00
"DRL","UT","DIS","55","迪士尼","Disneyland Resort",1.00
"DRL","UT","SUN","54","欣澳","Sunny Bay",2.00
"EAL","DT","LOW","76","羅湖","Lo Wu",1.00
"EAL","DT","SHS","75","上水","Sheung Shui",2.00
"EAL","DT","FAN","74","粉嶺","Fanling",3.00
"EAL","DT","TWO","73","太和","Tai Wo",4.00
"EAL","DT","TAP","72","大埔墟","Tai Po Market",5.00
"EAL","DT","UNI","71","大學","University",6.00
"EAL","DT","FOT","69","火炭","Fo Tan",7.00
"EAL","DT","SHT","68","沙田","Sha Tin",8.00
"EAL","DT","TAW","67","大圍","Tai Wai",9.00
"EAL","DT","KOT","8","九龍塘","Kowloon Tong",10.00
"EAL","DT","MKK","65","旺角東","Mong Kok East",11.00
"EAL","DT","HUH","64","紅磡","Hung Hom",12.00
"EAL","LMC-DT","LMC","78","落馬洲","Lok Ma Chau",1.00
"EAL","LMC-DT","SHS","75","上水","Sheung Shui",2.00
"EAL","LMC-DT","FAN","74","粉嶺","Fanling",3.00
"EAL","LMC-DT","TWO","73","太和","Tai Wo",4.00
"EAL","LMC-DT","TAP","72","大埔墟","Tai Po Market",5.00
"EAL","LMC-DT","UNI","71","大學","University",6.00
"EAL","LMC-DT","FOT","69","火炭","Fo Tan",7.00
"EAL","LMC-DT","SHT","68","沙田","Sha Tin",8.00
"EAL","LMC-DT","TAW","67","大圍","Tai Wai",9.00
